"","hgnc_symbol","log2FoldChange","padj","description"
"ENST00000225964.10","COL1A1",-1.27924563565963,1.85254532709754e-30,"collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]"
"ENST00000294728.7","VCAM1",-3.60467014129133,1.41787630303337e-28,"vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]"
"ENST00000249377.4","LRRC17",-2.69723775374799,6.43544273521499e-18,"leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]"
"ENST00000555004.3","C14orf132",-1.12141905204456,3.1478616366835e-16,"chromosome 14 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:20346]"
"ENST00000369663.10","TBX18",-1.86024151837014,5.09191743729472e-16,"T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]"
"ENST00000392806.4","TMEM119",-1.3182781303811,1.45595032299729e-14,"transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]"
"ENST00000448723.2","ADAM12",-1.93783339842169,2.15644199596192e-14,"ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
"ENST00000377474.4","KCTD12",-2.50364163923142,2.22433172590277e-14,"potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]"
"ENST00000632478.1","GREM1",-1.24319083794211,5.16996759067712e-13,"gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]"
"ENST00000370355.3","SCD",-2.3853254630249,5.24086323432559e-13,"stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]"
"ENST00000373208.5","ADAMTS14",-2.2856246158322,1.23527149092443e-12,"ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]"
"ENST00000389131.8","LOXL2",-1.12573909424856,1.66422708248424e-10,"lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]"
"ENST00000700553.1","BNC2",-4.31605956770663,1.91905397977376e-10,"basonuclin zinc finger protein 2 [Source:HGNC Symbol;Acc:HGNC:30988]"
"ENST00000462460.6","ARHGEF2",-2.79295814914622,6.38294213998479e-09,"Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]"
"ENST00000244745.4","SOX4",-2.49902208938554,3.3089353867724e-07,"SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]"
"ENST00000282466.4","IGSF10",-1.35280052175641,1.87042192056769e-06,"immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384]"
"ENST00000312280.9","PMP22",-3.32551852714495,3.07788524916805e-06,"peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]"
"ENST00000372930.5","TMEM35A",-1.3744858845271,3.18951619640942e-06,"transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]"
"ENST00000641023.2","PHGDH",-1.28830923870678,4.24771208057241e-06,"phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]"
"ENST00000359644.7","ATP2C1",-1.35170091389794,1.38935020796581e-05,"ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]"
